Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Gia_trieu,Tuổi xe
Honda,Air Blade,2008,500000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,16.5,17
GPX,Demon X 125cc,2020,15900,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,19.0,5
Honda,SH,2017,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,67.0,8
Honda,Wave,2025,2,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,19.0,0
Yamaha,R,2019,3000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,89.0,6
Honda,Air Blade,2007,70000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,10.0,18
Honda,Wave,2022,10999,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,14.9,3
Honda,Spacy,2004,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,45.0,21
Honda,Dòng khác,1997,99999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,27.999999,28
Honda,Vision,2018,12345,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,20.8,7
Yamaha,Dòng khác,2017,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,16.5,8
Honda,SH,2022,3500,Đã sử dụng,Tay ga,Trên 175 cc,Thái Lan,117.0,3
Honda,Lead,2019,46000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,26.0,6
Honda,Air Blade,2022,8100,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.8,3
Honda,SH,2011,16000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,168.5,14
Honda,SH,2023,4700,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,66.8,2
Honda,Winner,2018,60000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,16.0,7
Honda,Vario,2024,35000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,49.0,1
Suzuki,Dòng khác,2010,50000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,75.0,15
Yamaha,XSR,2024,1600,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,70.0,1
Honda,Lead,2014,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,18.0,11
Yamaha,Dòng khác,2017,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,13.5,8
Yamaha,Exciter,2018,11000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,8.5,7
Honda,Air Blade,2018,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,23.888888,7
Honda,Wave,2013,405000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,13.8,12
Honda,Wave,2014,10000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,6.5,11
Honda,Air Blade,2009,418989,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.0,16
Honda,Air Blade,2007,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.5,18
Honda,SH,2012,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,189.0,13
Honda,SH Mode,2016,18000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,33.0,9
Honda,Wave,2000,99999,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,26.9,25
Honda,Dream,2016,19000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,25.0,9
Honda,ADV 160,2023,11000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,85.0,2
Honda,Lead,2009,28961,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,8.6,16
Honda,CBR,2019,9577,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,35.0,6
Honda,Air Blade,2019,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,25.0,6
Honda,SH,2021,12000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,80.0,4
Honda,Wave,2011,40000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,9.5,14
Honda,Blade,2016,250,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,6.0,9
Honda,Air Blade,2020,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,31.5,5
Honda,SH,2023,4400,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,68.0,2
Suzuki,Hayate,2012,1000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,3.7,13
Honda,Future,2009,700000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,21.5,16
Honda,SH,2018,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,72.0,7
Honda,@,2001,70000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,7.0,24
Yamaha,Nouvo,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,5.5,15
Honda,Air Blade,2014,26000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,20.8,11
Honda,Lead,2018,40000,Đã sử dụng,Tay ga,Đang cập nhật,Bảo hành hãng,26.5,7
KTM,Duke 250,2019,7000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,47.0,6
Honda,SH,2011,38000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,94.8,14
Honda,Dream,2016,19000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,25.0,9
Honda,SH,2008,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,50.0,17
Honda,Air Blade,2023,4600,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,38.8,2
Suzuki,Xbike,2012,10000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,8.5,13
Honda,Winner,2018,35000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,17.0,7
Honda,Winner,2017,50000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,11.0,8
Yamaha,Luvias,2011,1000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.0,14
SYM,EZ,2010,53993,Đã sử dụng,Xe số,100 - 175 cc,Đài Loan,4.5,15
Piaggio,Vespa,2019,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.8,6
Honda,Lead,2015,48000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,16.5,10
Piaggio,Zip,2008,32,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.9,17
Honda,Air Blade,2016,18000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,22.8,9
Honda,SH Mode,2018,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,38.5,7
Honda,Lead,2016,18000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,18.5,9
Honda,SH Mode,2022,8800,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,49.5,3
Honda,Air Blade,2015,18000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,19.5,10
Honda,SH Mode,2024,5500,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,62.5,1
Honda,Vario,2023,9500,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,45.8,2
Yamaha,PG-1,2024,3000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,28.5,1
Honda,Vario,2021,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,35.3,4
Honda,Cub,1995,55000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,5.5,30
Honda,Vario,2024,1300,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.5,1
Honda,Future,2019,14234,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,27.8,6
Honda,Vision,2012,45000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,11.5,13
Yamaha,Exciter,2016,200000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,16.5,9
Honda,Future,2022,2500,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,3.2,3
Honda,SH,2009,888888,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,90.0,16
SYM,Attila,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,2.5,15
Honda,Air Blade,2011,82000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.3,14
Yamaha,Janus,2022,24000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,20.0,3
Honda,CG125Fi,2022,12000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,41.0,3
Honda,Future,2010,15,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,18.0,15
Yamaha,Taurus,2010,34017,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,5.3,15
Honda,Future,2014,31000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,12.5,11
Honda,Click,2011,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,7.0,14
Honda,Vision,2020,19000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,26.8,5
Honda,Wave,2008,123456,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,13.5,17
Honda,Air Blade,2013,25000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,18.3,12
Honda,Vario,2021,21000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,36.3,4
Honda,SH,2010,140000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,79.0,15
Honda,Vario,2018,15000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,48.5,7
Honda,Air Blade,2015,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,12.6,10
Honda,Air Blade,2009,43000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.2,16
Yamaha,Exciter,2006,10,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,45.5,19
Honda,Air Blade,2009,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,7.7,16
Honda,SH,2024,14000,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,99.999999,1
SYM,Wolf,2009,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,10.0,16
Yamaha,Sirius,2023,21025,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,15.0,2
Honda,SH Mode,2023,1185,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,61.0,2
Honda,SH,2020,31000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,75.0,5
Honda,SH,2023,8122,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,68.8,2
Harley Davidson,48,2021,2236,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Mỹ,325.0,4
Honda,Dream,1999,18000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,11.5,26
Kymco,Candy Hi,2021,10000,Đã sử dụng,Tay ga,Dưới 50 cc,Đài Loan,15.0,4
Yamaha,Mio,2008,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,5.8,17
Honda,Lead,2010,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,6.9,15
Honda,Vision,2013,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,9.8,12
Honda,Click,2008,54545,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,8.5,17
Yamaha,Exciter,2012,200000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,12.5,13
Honda,Wave,2012,94256,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.5,13
Yamaha,Exciter,2012,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,14.0,13
Suzuki,Hayate,2010,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,4.9,15
Honda,Air Blade,2009,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,6.9,16
Yamaha,Luvias,2014,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,7.9,11
SYM,Attila,2012,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,3.5,13
Yamaha,Mio,2008,39000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,5.7,17
Honda,Wave,2009,66666,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,10.5,16
Honda,Wave,2011,45678,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,7.0,14
Honda,Air Blade,2012,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.49,13
Yamaha,Nouvo,2017,660000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.0,8
Honda,Vision,2022,3300,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,25.8,3
Honda,Future,2024,3000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,30.0,1
Yamaha,Sirius,2012,19000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,8.9,13
Honda,Winner X,2019,20,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,18.4,6
Honda,Wave,2010,25000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,6.7,15
Honda,Click,2010,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.5,15
Honda,Wave,2010,39000,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,5.7,15
Honda,Air Blade,2023,4000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,50.0,2
Yamaha,Mio,2007,90000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,7.5,18
Honda,SH,2011,19000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,179.0,14
Honda,Wave,2012,18000,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,4.5,13
Honda,Wave,2016,30000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.0,9
Honda,SH,2023,8000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,72.0,2
Honda,Wave,2010,15,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,4.77,15
Honda,Wave,2010,15,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,4.27,15
Honda,Dream,2010,15,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,3.97,15
Honda,Air Blade,2008,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.5,17
Honda,67,1998,9999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,12.0,27
Yamaha,MT,2021,6068,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,58.0,4
Honda,Future,2010,19100,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,55.9,15
Honda,Air Blade,2013,4587,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.5,12
Honda,Dòng khác,2025,0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,5.9,0
Honda,Vision,2021,11100,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,25.999,4
Honda,Wave,2019,16,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,13.5,6
Yamaha,Grande,2021,24000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,30.0,4
SYM,Attila,2005,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,1.234567,20
Honda,Future,2011,60000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,30.0,14
Yamaha,Exciter,2022,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.5,3
Honda,Air Blade,2012,20000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,45.0,13
Honda,SH,2019,9000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,86.0,6
Piaggio,Vespa,2014,27000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,21.5,11
Hãng khác,Dòng khác,2005,965436,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,4.3,20
Hãng khác,Dòng khác,1997,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Hàn Quốc,10.5,28
Honda,Air Blade,2011,500000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.5,14
Honda,Winner X,2022,18000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,20.0,3
Honda,Cub,1990,10000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,15.0,35
Yamaha,Sirius,2017,21345,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.9,8
Honda,Lead,2008,0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,6.0,17
Yamaha,Exciter,2013,60000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,15.0,12
Kawasaki,Kawasaki,2007,50000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,3.5,18
Honda,Dòng khác,1998,99999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,15.0,27
Honda,Air Blade,2012,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.5,13
Honda,Air Blade,2016,46000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,23.0,9
Honda,Dream,2010,2000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,11.6,15
Honda,Wave,2002,100000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,15.0,23
Honda,Air Blade,2016,44338,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,26.0,9
Hãng khác,Dòng khác,2023,10000,Đã sử dụng,Tay ga,Trên 175 cc,Việt Nam,34.9,2
Honda,Winner X,2021,12345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,22.5,4
Honda,SH,2013,44000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,55.0,12
Yamaha,Exciter,2014,7500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,16.5,11
Honda,SH,2010,17000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,135.0,15
Honda,Winner X,2020,17000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,28.0,5
Honda,Cub,2009,29999,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,18.0,16
Suzuki,Satria,2022,11000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,30.0,3
Hãng khác,Dòng khác,2024,0,Đã sử dụng,Tay ga,Dưới 50 cc,Đang cập nhật,14.0,1
Suzuki,GSX,2019,26500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,25.9,6
Yamaha,Dòng khác,2022,3500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,40.0,3
Honda,SH,2010,14000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,145.0,15
Honda,SH,2017,43955,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,70.0,8
Honda,Winner X,2022,1389,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,28.0,3
Hãng khác,Dòng khác,2010,76000,Đã sử dụng,Tay ga,50 - 100 cc,Nước khác,5.0,15
Honda,SH,2018,125000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,71.0,7
Yamaha,Janus,2018,39000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,13.8,7
Honda,Wave,2008,74000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,11.0,17
Honda,Air Blade,2017,35000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,23.5,8
Honda,Winner,2017,1,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,13.0,8
Yamaha,Freego,2025,0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,33.0,0
Honda,Wave,2013,23000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,10.0,12
Honda,Vision,2024,10000,Đã sử dụng,Tay ga,Không biết rõ,Nhật Bản,32.0,1
Yamaha,Dòng khác,2016,10000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,109.0,9
Yamaha,Dòng khác,1995,99999,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Ấn Độ,75.0,30
Honda,SH,2011,9999,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,135.0,14
Yamaha,Exciter,2019,0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,25.0,6
Yamaha,Dòng khác,2012,35000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.0,13
Honda,CB,2005,200000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,70.0,20
Piaggio,Vespa,2017,23000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,29.499999,8
Honda,Winner,2019,21648,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,13.0,6
Honda,Future,2001,45000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,12.5,24
Honda,Cub,2025,1500,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,25.5,0
Honda,Vario,2018,35000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,41.5,7
Yamaha,Exciter,2020,8500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,38.0,5
Honda,Air Blade,2009,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,15.0,16
Yamaha,Nouvo,2011,1000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.0,14
Honda,Future,2001,18000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,46.0,24
Suzuki,FX125,2001,900000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,11.0,24
Yamaha,Nvx,2021,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,35.0,4
Honda,SH,2016,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,35.0,9
Yamaha,Exciter,2019,55000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,19.0,6
Honda,CBR,2023,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,21.0,2
Piaggio,Vespa,2009,444,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.5,16
Yamaha,Sirius,2015,100000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,3.0,10
Hãng khác,Dòng khác,2007,24605,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,3.2,18
Suzuki,Satria,2024,635,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,39.9,1
Piaggio,Vespa,2011,36000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,17.0,14
SYM,Attila,2008,35000,Đã sử dụng,Tay ga,100 - 175 cc,Hàn Quốc,3.4,17
Kawasaki,Z800,2015,21000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Việt Nam,102.0,10
Yamaha,Janus,2016,700000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.0,9
Honda,Chaly,2020,20000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,5.5,5
SYM,Dòng khác,2011,10000,Đã sử dụng,Tay ga,Dưới 50 cc,Đài Loan,6.5,14
Yamaha,Jupiter,2008,17000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,9.5,17
Honda,Lead,2024,900,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.5,1
Yamaha,Mio,2005,32458,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,6.0,20
Kawasaki,Kawasaki,2009,350000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,2.85,16
Honda,Air Blade,2009,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,14.5,16
Honda,Vision,2018,36000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,18.0,7
Piaggio,Liberty,2013,200000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.5,12
Honda,Wave,2009,66666,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,7.5,16
Yamaha,Exciter,2018,2000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.0,7
Honda,SH,2009,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,105.0,16
Honda,Dream,1996,51062,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,27.0,29
Honda,Dream,1996,3245,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,32.5,29
Yamaha,Sirius,2012,50000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,6.98,13
Honda,Air Blade,2012,32000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,9.2,13
Honda,Citi,2019,21000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,12.5,6
Honda,Air Blade,2007,60000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,7.5,18
Honda,Air Blade,2007,63000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,9.0,18
Honda,Dream,2001,100000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,4.2,24
Suzuki,GZ,2013,26619,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,38.5,12
Hãng khác,Dòng khác,2015,100000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,6.0,10
Honda,SH,2023,8368,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,72.0,2
Honda,Future,2022,2718,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,30.0,3
Yamaha,Exciter,2015,27000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,35.0,10
Piaggio,Vespa,2023,3000,Đã sử dụng,Tay ga,Dưới 50 cc,Ấn Độ,16.0,2
SYM,Attila,2005,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,1.234567,20
Honda,Future,2016,6000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.5,9
Yamaha,Grande,2017,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,17.5,8
Honda,Winner X,2025,1800,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,40.0,0
Honda,Air Blade,2010,28800,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,11.0,15
Honda,Air Blade,2010,18800,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,11.0,15
SYM,Attila,2013,3000,Đã sử dụng,Tay ga,Không biết rõ,Việt Nam,6.0,12
Suzuki,Satria,2019,32000,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,22.0,6
Triumph,Street Twin,2019,2000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,250.0,6
Honda,SCR,2007,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,7.0,18
Nioshima,Nio Fi 50cc,2023,8000,Đã sử dụng,Tay ga,50 - 100 cc,Đài Loan,15.0,2
Honda,Future,2015,100000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,11.0,10
KTM,RC 200,2021,31000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,33.0,4
Honda,Air Blade,2021,12000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.0,4
Honda,SH,2010,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,68.0,15
Kymco,Candy Hi,2022,7250,Đã sử dụng,Tay ga,50 - 100 cc,Hàn Quốc,18.0,3
Honda,Vision,2017,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,17.0,8
Honda,Vario,2019,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,35.0,6
